Fold,Accuracy,Precision,Recall,F1 Score
1,0.9997879259154532,0.9997883800656775,0.9997879259154532,0.9997871253829386
2,0.9998586172769688,0.9998586406503008,0.9998586172769688,0.9998543250996711
3,0.9999293086384844,0.9999308469624415,0.9999293086384844,0.9999292671994101
4,1.0,1.0,1.0,1.0
5,0.9998232653494044,0.9998233124474584,0.9998232653494044,0.9998189505388708
